"","game_id","home_team","away_team","season_type","week","stadium","weather","roof","surface","play_id","yardline_100","game_seconds_remaining","drive","qtr","down","ydstogo","play_type","play_type_nfl","posteam","posteam_type","defteam","first_down","td_team","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","desc","pass_attempt","complete_pass","incomplete_pass","pass_touchdown","interception","fumble_lost","fumbled_1_player_id","fumbled_1_player_name","receiving_yards","receiver","receiver_id","receiver_team","receiver_position","rush_attempt","run_location","run_gap","rushing_yards","rush_touchdown","rusher","rusher_id","rusher_team","rusher_position"
"1","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",93,55,3582,1,1,1,10,"run","RUSH","SF","home","ARI",1,NA,0,0,0,0,0,"(14:42) (Shotgun) 31-R.Mostert right tackle to ARI 41 for 14 yards (34-J.Thompson).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"right","tackle",14,0,"R.Mostert","00-0031687","SF","RB"
"2","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",118,41,3539,1,1,1,10,"run","RUSH","SF","home","ARI",0,NA,0,0,0,0,0,"(13:59) 31-R.Mostert left end to ARI 39 for 2 yards (48-I.Simmons).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"left","end",2,0,"R.Mostert","00-0031687","SF","RB"
"3","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",143,39,3501,1,1,2,8,"run","RUSH","SF","home","ARI",0,NA,0,0,0,0,0,"(13:21) (Shotgun) 31-R.Mostert right end to ARI 45 for -6 yards (58-J.Hicks).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"right","end",-6,0,"R.Mostert","00-0031687","SF","RB"
"4","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",628,64,3176,5,1,2,5,"run","RUSH","SF","home","ARI",0,NA,10,0,10,0,10,"(7:56) 31-R.Mostert left tackle to SF 36 for no gain (98-C.Peters).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"left","tackle",0,0,"R.Mostert","00-0031687","SF","RB"
"5","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",1011,62,2941,9,1,1,10,"run","RUSH","SF","home","ARI",0,NA,10,7,10,7,3,"(4:01) (Shotgun) 31-R.Mostert right tackle to SF 47 for 9 yards (32-B.Baker).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"right","tackle",9,0,"R.Mostert","00-0031687","SF","RB"
"6","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",1118,22,2774,9,1,1,10,"run","RUSH","SF","home","ARI",0,NA,10,7,10,7,3,"(1:14) 31-R.Mostert left tackle to ARI 19 for 3 yards (59-D.Campbell).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"left","tackle",3,0,"R.Mostert","00-0031687","SF","RB"
"7","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",1184,10,2700,9,2,1,10,"run","RUSH","SF","home","ARI",0,NA,10,7,10,7,3,"(15:00) 28-J.McKinnon up the middle to ARI 7 for 3 yards (59-D.Campbell; 58-J.Hicks).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"middle",NA,3,0,"J.McKinnon","00-0031376","SF","RB"
"8","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",1247,17,2596,9,2,3,17,"run","RUSH","SF","home","ARI",0,NA,10,7,10,7,3,"(13:16) (Shotgun) 28-J.McKinnon up the middle to ARI 1 for 16 yards (31-C.Banjo; 32-B.Baker).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"middle",NA,16,0,"J.McKinnon","00-0031376","SF","RB"
"9","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",1268,1,2557,9,2,4,1,"run","RUSH","SF","home","ARI",0,NA,10,7,10,7,3,"(12:37) 31-R.Mostert up the middle to ARI 1 for no gain (42-D.Kennard, 59-D.Campbell). San Francisco challenged the runner was down by contact ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1 at 12:30.)",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"middle",NA,0,0,"R.Mostert","00-0031687","SF","RB"
"10","2020_01_ARI_SF","SF","ARI","REG",1,"Levi's Stadium","Hazy Temp: 66° F, Humidity: 68%, Wind: NNW 6 mph","outdoors","grass",1630,58,2248,11,2,1,10,"run","RUSH","SF","home","ARI",0,NA,10,7,10,7,3,"(7:28) 31-R.Mostert left guard to SF 45 for 3 yards (32-B.Baker).",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,"left","guard",3,0,"R.Mostert","00-0031687","SF","RB"
